时间(s),温度(摄氏度)
0.0,25.0
0.5,25.000000001463828
1.0,25.00000003534802
1.5,25.00000041245551
2.0,25.00000310602488
2.5,25.000017024323995
3.0,25.0000726878045
3.5,25.00025292593875
4.0,25.00074164880313
4.5,25.001882241654222
5.0,25.004227870862536
5.5,25.008566881524278
6.0,25.01591750954621
6.5,25.027497946322498
7.0,25.044682672602082
7.5,25.068954577167258
8.0,25.101859093543347
8.5,25.144963793291325
9.0,25.199824870607024
9.5,25.26796067510033
10.0,25.35083176079279
10.5,25.44982660194634
11.0,25.566252032103723
11.5,25.701327497031034
12.0,25.856182305984564
12.5,26.031855182524044
13.0,26.22929553493382
13.5,26.449365975654565
14.0,26.692845714996746
14.5,26.960434535383932
15.0,27.25275711916217
15.5,27.570367557214112
16.0,27.913753908910763
16.5,28.283342718196913
17.0,28.679503417413603
17.5,29.102552571264983
18.0,29.55275792932454
18.5,30.030342267651527
19.0,30.535487009252854
19.5,31.068335619156624
20.0,31.628996761442433
20.5,32.217547106344966
21.0,32.83403321472
21.5,33.47847060420951
22.0,34.15083576518353
22.5,34.851045030116396
23.0,35.57891614771941
23.5,36.33411617526059
24.0,37.11610913765686
24.5,37.92412069507003
25.0,38.75713070267028
25.5,39.61389308710591
26.0,40.49297438358904
26.5,41.39280077973035
27.0,42.31170592577036
27.5,43.247974790098105
28.0,44.19988120727104
28.5,45.16571837817327
29.0,46.14382254217462
29.5,47.1325905295569
30.0,48.13049209930645
30.5,49.13607799200123
31.0,50.147984560855285
31.5,51.164935737494396
32.0,52.18574297082738
32.5,53.209303663364565
33.0,54.23459852698253
33.5,55.26068819203616
34.0,56.28670933015905
34.5,57.311870490868
35.0,58.33544780357162
35.5,59.356780657969125
36.0,60.37526744541902
36.5,61.39036142012916
37.0,62.40156672067337
37.5,63.40843457827892
38.0,64.41055972765679
38.5,65.40757702814122
39.0,66.39915829697486
39.5,67.38500935226482
40.0,68.36486726006389
40.5,69.33849777792328
41.0,70.30569298587476
41.5,71.26626909496873
42.0,72.22006442307026
42.5,73.16693752749494
43.0,74.10676548417126
43.5,75.0394423032693
44.0,75.96487747161002
44.5,76.88299461259952
45.0,77.79373025492421
45.5,78.69703270173683
46.0,79.59286099258554
46.5,80.48118395083529
47.0,81.36197930983724
47.5,82.235232911567
48.0,83.10093797192418
48.5,83.95909440730087
49.0,84.80970821745436
49.5,85.65279092008365
50.0,86.48835903288378
50.5,87.31643359917217
51.0,88.13703975350354
51.5,88.95020632396532
52.0,89.75596546812483
52.5,90.55435233983219
53.0,91.34540478432257
53.5,92.12916305926072
54.0,92.9056695795712
54.5,93.67496868407012
55.0,94.43710642208096
55.5,95.19213035836609
56.0,95.94008939484206
56.5,96.68103360767886
57.0,97.41501409849062
57.5,98.14208285844431
58.0,98.8622926441977
58.5,99.57569686468102
59.0,100.2823494778073
59.5,100.98230489628317
60.0,101.675617901751
60.5,102.36234356656713
